project,BugInducing,InducingDate,BugFixing,FixingDates,InducingMessage
qiskit-community/qiskit-vscode,727e15120da33d1c2ad7b15a0dfb8ebea68a531a,2019-05-10T14:31:52Z,de322b37de9318b4436b199bb5d592fe3aa7c973/,2019-05-11 00:35:58+10:00/,"ability to use python path from settings, defaults to previous behavior"
softwareQinc/staq,e6145142bdb8d8f31f818a7f55624c2443e4232d,2020-04-08T21:12:03Z,aad4b798feb08db87ee2195d1f4ffd1b830164ea/68d8e0bd5a6f916acdfff2d447b476c3130a0206/,2020-04-09 23:57:30-04:00/2020-05-13 12:51:20-04:00/,Version 1.1
Qiskit/qiskit-ibmq-provider,f118ffcd3ad564af7059e60ae354f095d8dd615d,2020-07-23T03:08:26Z,613bd7ced6616bc4c5148b8371de88a16d7e5cb7/,2020-07-28 10:14:58-04:00/,clean up fake jobs (#722)
quantumlib/Cirq,1788d077dc2231dbd6755bb209b650ce9d1200ea,2019-09-25T00:05:58Z,31b5436df412353a52b71ddded9e3630ebf3c3d9/f14ed20545338f404516c55fd150daa8cbfd292f/61e19e5b0cde726bdbd37c2918ce2c9f802b18f9/,2019-12-02 16:30:57-08:00/2019-11-19 15:39:27-08:00/2019-09-30 19:57:45-07:00/,"Replace usage of cirq.Circuit.from_ops(...) with cirq.Circuit(...) in contrib (#2166)

Part of #1787

This should be nothing but basically a search-replace of `Circuit.from_ops(` with `Circuit(`, followed by formatting, followed by tiny manual tweaks."
Qiskit/qiskit-terra,0e0f39ada22277472222bfdbfc2b8df5cf2fe2e5,2018-09-27T15:00:15Z,fcdb2e150dab9c708d3e7facbe6b2326542c12af/,2018-11-17 09:09:16-05:00/,add other execptions
Qiskit/qiskit-terra,86fb7f95a42d5e4c500fb72954b2020fe99828cd,2019-08-06T14:38:32Z,08514697a96556eb8b3b63f4ad885ed940d6b879/effad1228e0d9f24ea3343e0821054b74bd4e8ea/,2020-03-29 19:17:42-04:00/2019-09-23 10:07:52-04:00/,"Add equiv method to Operator and Statevector classes (#2910)

* add Statevector, DensityMatrix classes to quantum_info init

* add equiv method to Operator

* Checks if two operators are equivalent up to global phase

* return false rather than raise in equiv

* add Operator.equiv test

* add equiv method to Statevector

* update changelog

* mr lint"
rigetti/pyquil,1d2f82b3204114d10ec39ff132e89e7c9fb4701c,2018-01-10T18:22:40Z,a972b2f834ed6eef3c0ab33ef7f0f157922c8873/a952c3df9afaf40b076734a9a37f93d09d3b399f/13831862d4dfe7be0ef209db49e16b38b4303603/,2018-07-20 15:21:46+10:00/2018-10-03 16:37:16-07:00/2018-02-16 09:52:06-08:00/,Fix failing Python 2 build
QuantumPackage/qp2,919662ee0b64abb6a20a3e61c1d1bb261fcb05c4,2019-07-04T14:16:57Z,53eb7f553171680385f484f91260147933ddf9f5/887afe97b44718c232e4b6bd1b46f5f7af49e5e9/62f82b03c0aa62bf820f4dd5d2e919b396ad00bc/59aaf3806d062f585b4b8a81f1815b23064b0c6f/65a5b87a434c32711982aa8c24861c2932af7afc/e3779e3c634d8485f59c6ad7b38c7e45e3b881bd/b470cb6c1ef5de248f65fa1a48a3117632da945a/,2019-07-05 15:48:31+02:00/2019-07-04 17:34:56+02:00/2019-07-05 10:31:02+02:00/2019-07-04 16:43:08+02:00/2019-10-25 01:30:30+02:00/2019-07-04 18:04:43+02:00/2019-10-25 17:31:09+02:00/,beginning to rewrite two_rdm
microsoft/QuantumLibraries,19394701881b50f3e899914125a3322c5ca99000,2019-09-03T17:30:52Z,505fc27383c9914c3e1f60fb63d0acfe60b11956/55df2709294f27a55f286bab799d60ae81e829d3/b4be0cc10453381db41f937f04f501c72bd438dd/,2020-08-21 09:25:57-07:00/2020-05-12 15:37:13-07:00/2019-10-23 15:29:01-07:00/,"Functions for arithmetic, logical, and bitwise functions. (#152)

* Slightly improved complex in Microsoft.Quantum.Math.

* First set of operators as functions.

* Added operatorfns to Microsoft.Quantum.Logical.

* Fixed layout of Bitwise.qs.

* Added tests for logical functions.

* Refactored equality facts to use common base fact, add ℂ.

* Polishing up tests and hunting down bugs.

* One last test fix.

* Fixed truncation error in bigint left-shift test.

* Addressing feedback.

* Addressing feedback in Bitwise.

* Addressing more feedback."
qiskit-community/qiskit-vscode,7f2f4fb5da9d4fdf7fdc5a92a59e445b573a4741,2018-06-18T11:09:12Z,cfff830431d739242bf5237f7b94344a96ae63c3/,2018-06-18 17:35:18+02:00/,Added PR #141 to the CHANGELOG
