project,BugInducing,InducingDate,BugFixing,FixingDates,InducingMessage
netket/netket,33e948ef3cde73b30103de4fd5aaf37edf699b70,2018-05-28T06:04:53Z,54e190b853fd06f6dfabc0a20279cda9d3874a0a/160ca16723a77a9bebfe385255d9dd175b931c6a/69ad54f8b17cba8d1edf8f849b35a35809dbae50/783d77a83026b724c8efa30a77378b70cb036f30/,2018-05-30 23:28:37+02:00/2018-08-16 00:41:13+02:00/2018-05-28 13:45:50+02:00/2018-06-01 02:34:31+02:00/,"Small optimizations for controlled time steppers

In this Dopri54 implementation, the last k_ value is the same as the
first for the next time step (this is called FSAL, first same as last,
in the literature), so it is now reused when the last step was not
rejected.

Also, ControlledTimeStepper now stores the time step between different
calls to Propagate."
aeantipov/pomerol,966cc93cbca8a2a37e753ae4fe2551bac3272a89,2016-08-31T00:35:16Z,3c027d1f5600898f981572b215cd1c0d4ca58aac/4c0aaf2b4eba200c0b3caf5fce5ad52fc67fb301/,2016-08-31 02:41:33+02:00/2016-08-31 02:47:40+02:00/,correct openmp
Qiskit/qiskit-aqua,6b1280c60d3ca824d89e519c312c3fc0870599bd,2020-07-24T13:57:36Z,9999b6e4d5022ef678087b221273378330a229bd/f826413f09e5a54ceb58939fc24351bef0fbd2e9/155b104f821fb74d8d37c6988a3666c6ad49366b/18dbf7122c6a21d36cad27e839669d77f7ddfcd7/99394e542fd7074121a98b866ad4eaa579a9c153/,2020-08-04 03:28:54+09:00/2020-08-04 19:50:20+09:00/2020-10-09 22:17:14+02:00/2020-08-06 00:13:44+09:00/2020-09-11 13:05:43+05:18/,"OptimizationResult does not contain variable information #1107 (#1122)

* 1) new argument “x_name” added to OptimizationResult constructor. It is supposed to contain the names of the variables being optimized, in most cases it should contain “problem.variables”
2) new @property var_dict created in OptimizationResult
3) property.setters used for setting the private variables in OptimizationResult
4) all instances of OptimizationResult modified to match the constructor
5) __str__ was redundant due to existing implementation of __repr__

* Documentation updated

* Documentation updated

* 1) __getitem__ implemented for OptimizationResult
2) list of variables added to OptimizationResult constructor

* remove unnecessary print

* 1) removed unnecessary setter from AdmmOptimizationResult
2) refactoring OptimizationResult according to code review

* var_dict -> variables

* fixed linting

* 1) properties used as intefaces only
2) refactoring based on code review
3) pylint errors fixed

* fixed failed build

* ensuring that lists are not None

* fix ValueError

Co-authored-by: Anton Dekusar <62334182+adekusar-drl@users.noreply.github.com>
Co-authored-by: Steve Wood <40241007+woodsp-ibm@users.noreply.github.com>
Co-authored-by: Manoel Marques <manoel@us.ibm.com>"
aeantipov/pomerol,442e18285a38c2843272ee7c13680d3856757899,2016-08-31T00:12:21Z,a1d7f4cc4b67bfece7dfd9bc5f3d42e0197d9d27/,2017-07-10 16:19:33-04:00/,install bugfix
Qiskit/qiskit-aqua,5d857ee42372090a57f504105d42ab3b2a920482,2019-06-17T09:08:46Z,76f6a88bfc5f718e389da9c0e673a86101a8f452/,2020-08-12 23:39:50+02:00/,"remove .lower(), already checked by CONFIGURATION"
Qiskit/qiskit-aqua,caa4b14827f9071966615a1f1561229b307ef048,2019-01-24T09:55:23Z,cc45875e583ad57a0cd9bdc26b1ca33646376f33/0a73a3e76a6618ed6b1301b269c8a9a837e810c8/c31a896f3f2a62207b699fe2a1a083b0f17399f1/8f7b0b1d49777cf7ebb115811ea36a0e5286b2cc/,2019-09-03 01:11:02-04:00/2019-02-04 22:12:17+01:00/2020-02-25 22:19:55+01:00/2019-05-09 09:50:58-04:00/,add mode 'noancilla' to mct
PanPalitta/phase_estimation,12b08ccbf36a6cce3333cb7e5c851bfe6b105ce1,2015-12-19T00:44:35Z,ea9b19c04c01257e3c2fe6af2cd112a56cc04536/67bae609d8f2fcd438b786128f7b129b47806bc2/e5fc8301c802cd18c02aabd096dfcf44dee02646/f042e664ab49cf8065c9793f3f8fddcc07f31b2c/542167700934fe93ede878130ed6b7730b84aa20/f08fcf6fc7ab8c2ef6209ca423e69b89bae09cfc/23294f04fa7ab88e88c36cd3fa5c8f0f3e8075ba/,2016-02-09 11:45:11-07:00/2016-02-14 00:17:02-07:00/2019-01-04 17:13:07-07:00/2016-03-20 11:58:13-06:00/2017-05-03 15:32:40-06:00/2016-02-02 00:09:03-07:00/2016-02-09 11:50:38-07:00/,MPI variables stored in mpi_optalg class.
Qiskit/qiskit-aqua,377c8557a2d0bfad4904bb796839a5d4dd246189,2019-05-08T20:49:40Z,05da32e81a3d2ef37ee511099939e46c0b973a25/4064f54581a393626230006fc6edb64c53e9aaef/cddd8abb375f247f599d3d2e97eadc3844e299cf/,2019-08-27 15:17:24-04:00/2019-07-16 17:31:27-04:00/2019-08-16 02:05:27-04:00/,"update test, since the argument name is changed."
Qiskit/qiskit-aqua,59c1a80297b009fafac595538b018c589d778e75,2018-10-24T00:42:17Z,5b260ea6788d9362f2a373518302d4afb3c57789/3037303f64fbc556ed455f158336a58819b88605/f21c42779f76d58a7a120fa0bc51c3545cd4486f/1e9db9cfc39766ae09ee922c092d30a2340515f4/08e10b38cdc31353c88fd5447bfb3a785de29a66/aed2c7ad54e101880887a6774d3a6959fb8d2339/45dc4b47ce7be07a95f58af30fad7a156185f96b/aea1dc1d58256914cf9e7fa0a297d4580dcf96f4/4565b8a8f7127dcb014832904ca009d75cb475fe/fc3c0350eadf02702a5e8a6a8eddafe2190d4a61/646ed9d2285d7d655562c1d6cb3b6ec2206c1681/f3b552dc932b838358651d229c0c53789f182015/2b7015978edfb9fd8891eac6c2a6d6701a86439f/e884abd047af48fe0ca3d33153b90cd7e90bdda1/,2019-04-26 18:52:10-04:00/2018-10-24 16:15:34-04:00/2018-11-19 22:01:09-05:00/2018-10-25 22:15:20-04:00/2019-03-06 16:03:30-05:00/2019-04-22 12:29:53-04:00/2019-04-22 22:04:10-04:00/2019-01-22 16:07:26-05:00/2019-02-04 16:39:37-05:00/2019-03-21 12:48:18-04:00/2019-03-26 14:49:33-04:00/2020-04-27 17:54:44-04:00/2018-12-19 18:46:18-05:00/2018-11-06 09:26:54-05:00/,support batch mode in QSVM variational and clean up VQE
quantumlib/OpenFermion,781d0a7c4894c1e3bca3e51f97876e56c87d7f78,2018-03-26T20:38:10Z,cb08df747b7a9cad401c20af5a3fc420d5ea211a/,2018-03-29 13:30:39-07:00/,"use future open in setup.py (#291)

* use future open in setup.py

* correct import syntax"
Qiskit/qiskit-aqua,ceeebf5a209b69419162728a087c4a02beb3c9ae,2019-04-15T12:09:49Z,8b614259428732ebbb9d62133042e8774034a58c/f0e8c222a68f24c3359ccc1e9d1ef52fe6a32802/a002e204510536801c4b26db35eb1d0734d0ff5d/,2019-04-16 09:24:41+02:00/2019-04-17 00:19:47+02:00/2019-05-07 09:25:03-04:00/,test other dimensional matrices in test_hhl.py
mabuchilab/QNET,0411f24af7d09a1ad1e7b5555ccb4407cf6d01d8,2017-02-27T22:05:51Z,e38f9ed99966174d57a5e6f23313947b326ba4bd/2c8f788036660f65591058b04ce73cfd7b139c66/73355bffe238429a780b488a8db6ecdf868a3f62/d6f416c857574ae5c150e243c43e13f634bb6a1f/,2017-12-02 22:10:44-08:00/2018-04-12 15:57:03-04:00/2018-04-22 02:30:21-04:00/2017-10-30 20:07:01-07:00/,"Fix substitute method for Singletons

This closes #49"
PanPalitta/phase_estimation,f08fcf6fc7ab8c2ef6209ca423e69b89bae09cfc,2016-02-02T07:09:03Z,ea9b19c04c01257e3c2fe6af2cd112a56cc04536/67bae609d8f2fcd438b786128f7b129b47806bc2/c46d2eea693a7bf0ad57630370aa89bf9118f656/7fbe32060cf6e088361b140aac22feca83d1fb53/a7354d0a56240cb7d92a5b988b7b9fd256d9f6b9/23294f04fa7ab88e88c36cd3fa5c8f0f3e8075ba/cdbabef3f583688e186fbd20e92d6bfea02b3712/,2016-02-09 11:45:11-07:00/2016-02-14 00:17:02-07:00/2017-02-13 14:51:16-07:00/2016-03-01 17:28:42-07:00/2016-04-10 22:33:04-06:00/2016-02-09 11:50:38-07:00/2016-02-10 10:24:32-07:00/,accept-reject criteria moved into OptAlg::check_success
